Label,Alternative Terms,ID,ontology ID
lightsheet fluorescence microscopy assay,lightsheet,952c036b-88b3-41d9-823a-05ee645b4ecb,OBI:0003098
cre-dependent anterograde tracing assay,,3b24f0f6-bcbb-4060-8450-033a41af44e0,BITO:0000010
anterograde tracing assay,,7dfb74fa-0fe2-45cc-91b6-fd0627d75b5d,BITO:0000011
optical coherence tomography assay,OCT,3f63e583-826d-43b5-9ed3-1b3fc068b9b5,BITO:0000012
volumetric imaging with synchronized on-the-fly oblique-scan and readout assay,"VISoR, VISoR assay",7504f4e2-ef04-429a-8705-5b57af859adc,BITO:0000013
composite in situ imaging,CISI,8c21802a-b576-40fd-92cf-f335b1bf1342,BITO:0000014
3-level single-cell combinatorial indexing RNA sequencing assay,"sci-RNA-seq3, 3-level sci-RNA-seq",ad19aefb-72d8-4192-b922-47d5c4f0ba9f,BITO:0000015
3-level single-cell combinatorial indexing ATAC sequencing assay,"sci-ATAC-seq3, 3-level sci-ATAC-seq",a6049840-8545-45ed-9707-6edb3964a02b,BITO:0000016
10X chromium ATAC-seq assay,10X chromium ATAC-seq\|10X chromium ATAC sequencing assay,,BITO:0000017
SHARE-seq assay,SHARE-seq,de0f17bf-7610-41d0-a1ee-6cfcf06fcfa1,BITO:0000018
single cell multiome ATAC + gene expression assay,single cell multiome ATAC + gene expression,,BITO:0000019
double in vitro transcription with absoluted counts sequencing assay,DIVA-seq,,BITO:0000020
oblique light sheet tomography assay,OLST,4da3d706-b02c-4e87-baf6-ba9cd775fc0d,BITO:0000021
cyclic single-molecule fluorescence in situ hybridization assay,osmFISH,f62b09ad-1608-4160-a712-5c5d20b66981,BITO:0000022
SNARE-seq2 (ATAC-seq),,,BITO:0000023
SNARE-seq2 (RNA-seq),,,BITO:0000024
nanopore DNA sequencing assay,,Oxford Nanopore long-read sequencing,BITO:0000025
single cell isoform RNA sequencing assay,ScISOr-seq,,BITO:0000026
single nucleus methyl-3C sequencing assay,sn-m3c-seq,34ab1458-fafb-41be-a9b8-8641133e71a5,BITO:0000027
single nucleus methyl-C sequencing assay version 2,snmC-seq2,,BITO:0000028
mC-seq3,,,BITO:0000029
single-cell combinatorial indexing with WGBS methylation analysis version 2,sci-METv2,4874d71f-f84f-461d-9f99-706105f55fc7,BITO:0000030
multiplex immunoassay,,ba9b2f4d-5794-4276-8bf2-9bcc33a19b24,BITO:0000031
immunoassay,,,BITO:0000032
calcium imaging assay,"Ca2+ imaging, Ca imaging",0a3747af-571a-4277-9079-6bc7335c269b,BITO:0000033
cellular assay,,,BITO:0000034
human brain optimized light sheet microscopy assay,HOLiS,,BITO:0000035
temp-O sequencing assay,temp-O seq,3603db94-a6f1-4459-8dd0-b4724757b1a9,BITO:0000036
x-ray holographic nano-tomography assay,XHN,,BITO:0000037
Pacific Bioscience long-read sequencing assay,,04e4eece-1a56-40e6-a213-43e80ad1af06,BITO:0000038
enhancer virus labelling assay,enhancer virus labeling,4aacc6ca-2042-4149-ac0f-a60222784fde,BITO:0000039
paired-tag assay,,968ef9e0-0a91-4a04-9d94-1f522a67f873,BITO:0000040
whole genome sequencing assay,WGS,2bfee61e-4077-450b-a568-64c63cccbffb,OBI:0002117
magnetic resonance imaging assay,MRI,2b0361d3-6d3e-4e43-8e9f-e0b76eb64e24,OBI:0002985
DNA sequencing assay,nucleotide sequencing,fd41eb65-d7da-4afb-956b-0174f3547b22,OBI:0000626
DBiT-seq,,,BITO:0000041
Perturb-seq,"CRISP-seq, CROP-seq",,BITO:0000042
SMARTSeqSC,,,BITO:0000043
SmartSeq3,,,BITO:0000044
10xV3.1,,,BITO:0000045
10xV3.1_HT,,,BITO:0000046
10xMultiome;GEX,,,BITO:0000047
10xMultiome;ATAC,,,BITO:0000048
10xATAC_V2.0,,,BITO:0000049
10XMultiome-CellHashing;GEX,,,BITO:0000050
10XMultiome-CellHashing;ATAC,,,BITO:0000051
10XMultiome-Cell Hashing;Barcode,,,BITO:0000052
10xV3.1_CellPlex;GEX,,,BITO:0000053
10xV3.1_CellPlex;Barcode,,,BITO:0000054
10xV3.1_HT_CellPlex;GEX,,,BITO:0000055
10xV3.1_HT_CellPlex;Barcode,,,BITO:0000056
MethylC-Seq,,,BITO:0000057
snmCT-seq,,,BITO:0000058
scATAC-seq,,,BITO:0000059
Slide-seq MERFISH,,,BITO:0000060
whole brain MERFISH,,,BITO:0000061
DBiT RNA-seq,,,BITO:0000062
DBiT ATAC-seq,,,BITO:0000063
Slide-tag - spatial,,,BITO:0000064
Slide-tag - GEX,,,BITO:0000065
10X 5P V2 - GEX,,,BITO:0000066
PIPseq T2 - 3P GEX,,,BITO:0000067
PIPseq T20 - 3P GEX,,,BITO:0000068
Slide-seq standard puck with 10X 5P v2 - GEX and spatial,,,BITO:0000069
